Timestamp,Username,Photo Editor,Interest/Enjoyment Score,Perceived Competence Score,Effort/Importance Score,Pressure/Tension Score,Value/Usefulness Score,Task 1 Difficulty,Task 2 Difficulty
3/20/2019 18:18,blue_fox,Photoshop,45,37,30,18,40,3,4
3/27/2019 18:14,orange-koala,Photoshop,44,29,19,16,34,3,4
4/3/2019 17:03,brown_mustang,Photoshop,45,36,27,11,45,1,1
4/3/2019 17:13,gold-burro,Photoshop,47,26,30,8,38,1,2
4/3/2019 19:13,inchworm-argali,Photoshop,36,13,25,25,13,5,4
3/27/2019 17:39,maize-coyote,Fotor,35,22,23,17,41,1,5
4/1/2019 10:34,lemon-elk,Fotor,34,34,23,19,19,1,3
4/10/2019 11:52,teal-squirrel,Fotor,37,30,26,5,32,1,2
4/10/2019 17:45,icterine-cougar,Fotor,43,39,28,9,42,1,2
4/10/2019 17:50,green_warthog,Fotor,32,27,12,6,29,2,4
